Yr,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1980,1,Kareem Abdul-Jabbar,32,LAL,147.0,147.0,221,0.665,82,38.3,24.8,10.8,4.5,1.0,3.4,.604,.000,.765,14.8,.227
1980,2,Julius Erving,29,PHI,31.5,31.5,221,0.143,78,36.1,26.9,7.4,4.6,2.2,1.8,.519,.200,.787,12.5,.213
1980,3,George Gervin,27,SAS,19.0,19.0,221,0.086,78,37.6,33.1,5.2,2.6,1.4,1.0,.528,.314,.852,10.6,.173
1980,4,Larry Bird,23,BOS,15.0,15.0,221,0.068,82,36.0,21.3,10.4,4.5,1.7,0.6,.474,.406,.836,11.2,.182
1980,5,Tiny Archibald,31,BOS,2.0,2.0,221,0.009,80,35.8,14.1,2.5,8.4,1.3,0.1,.482,.222,.830,8.9,.148
1980,6,Dennis Johnson,25,SEA,2.0,2.0,221,0.009,81,36.3,19.0,5.1,4.1,1.8,1.0,.422,.207,.780,7.4,.120
1980,7,Dan Roundfield,26,ATL,2.0,2.0,221,0.009,81,32.0,16.5,10.3,2.3,1.2,1.7,.499,.000,.710,9.1,.169
1980,8,Gus Williams,26,SEA,1.5,1.5,221,0.007,82,36.2,22.1,3.4,4.8,2.4,0.5,.482,.194,.788,11.6,.187
1980,9,Moses Malone,24,HOU,1.0,1.0,221,0.005,82,38.3,25.8,14.5,1.8,1.0,1.3,.502,.000,.719,11.9,.183
1981,1,Julius Erving,30,PHI,28.0,454.0,690,0.658,82,35.0,24.6,8.0,4.4,2.1,1.8,.521,.222,.787,13.8,.231
1981,2,Larry Bird,24,BOS,20.0,423.0,690,0.613,82,39.5,21.2,10.9,5.5,2.0,0.8,.478,.270,.863,10.8,.160
1981,3,Kareem Abdul-Jabbar,33,LAL,8.0,286.0,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,.574,.000,.766,14.3,.230
1981,4,Moses Malone,25,HOU,8.0,180.0,690,0.261,80,40.6,27.8,14.8,1.8,1.0,1.9,.522,.333,.757,13.7,.202
1981,5,George Gervin,28,SAS,1.0,83.0,690,0.120,82,33.7,27.1,5.1,3.2,1.1,0.7,.492,.257,.826,10.5,.182
1981,6,Marques Johnson,24,MIL,1.0,73.0,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,.552,.000,.706,11.2,.211
1981,7,Robert Parish,27,BOS,0.0,53.0,690,0.077,82,28.0,18.9,9.5,1.8,1.0,2.6,.545,.000,.710,10.9,.228
1981,8,Dennis Johnson,26,PHO,0.0,50.0,690,0.072,79,33.1,18.8,4.6,3.7,1.7,0.8,.436,.216,.820,8.4,.154
1981,9,Tiny Archibald,32,BOS,0.0,32.0,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,.499,.000,.816,6.9,.118
1981,10,Jamaal Wilkes,27,LAL,0.0,19.0,690,0.028,81,37.4,22.6,5.4,2.9,1.5,0.4,.526,.077,.758,8.5,.135
1981,11,Magic Johnson,21,LAL,0.0,18.0,690,0.026,37,37.1,21.6,8.6,8.6,3.4,0.7,.532,.176,.760,6.4,.225
1981,12,Adrian Dantley,25,UTA,1.0,15.0,690,0.022,80,42.7,30.7,6.4,4.0,1.4,0.2,.559,.286,.806,13.6,.191
1981,13,Phil Ford,24,KCK,1.0,15.0,690,0.022,66,34.7,17.5,1.9,8.8,1.5,0.1,.478,.306,.831,5.2,.110
1981,14,Bernard King,24,GSW,0.0,12.0,690,0.017,81,36.0,21.9,6.8,3.5,0.9,0.4,.588,.333,.703,9.1,.150
1981,15,Kelvin Ransey,22,POR,1.0,11.0,690,0.016,80,30.4,15.2,2.4,6.9,1.1,0.1,.452,.097,.749,2.8,.056
1981,16,Jack Sikma,25,SEA,0.0,11.0,690,0.016,82,35.6,18.7,10.4,3.0,1.0,1.1,.454,.000,.823,8.0,.132
1981,17,Otis Birdsong,25,KCK,0.0,7.0,690,0.010,71,36.5,24.6,3.6,3.3,1.3,0.3,.544,.286,.697,8.2,.152
1981,18,Micheal Ray Richardson,25,NYK,0.0,7.0,690,0.010,79,40.2,16.4,6.9,7.9,2.9,0.4,.469,.225,.663,6.9,.104
1981,19,Truck Robinson,29,PHO,0.0,6.0,690,0.009,82,37.7,18.8,9.6,2.5,0.8,0.5,.505,,.629,7.6,.119
1981,20,Reggie Theus,23,CHI,0.0,6.0,690,0.009,82,34.4,18.9,3.5,5.2,1.5,0.2,.495,.200,.809,9.2,.156
1981,21,Norm Nixon,25,LAL,0.0,5.0,690,0.007,79,37.5,17.1,2.9,8.8,1.8,0.1,.476,.167,.778,5.5,.089
1981,22,Artis Gilmore,31,CHI,0.0,4.0,690,0.006,82,34.5,17.9,10.1,2.1,0.6,2.4,.670,,.705,12.3,.208
1981,23,Bob Lanier,32,MIL,0.0,4.0,690,0.006,67,26.2,14.3,6.2,2.7,1.1,1.2,.525,1.000,.751,6.8,.185
1981,24,Michael Cooper,24,LAL,0.0,3.0,690,0.004,81,32.4,9.4,4.1,4.1,1.6,1.0,.491,.211,.785,5.0,.092
1981,25,Walter Davis,26,PHO,0.0,3.0,690,0.004,78,28.0,18.0,2.6,3.9,1.2,0.2,.539,.412,.836,7.1,.157
1981,26,George Johnson,32,SAS,0.0,3.0,690,0.004,82,23.6,5.0,7.3,1.1,0.6,3.4,.473,,.734,4.5,.112
1981,27,Bobby Jones,29,PHI,0.0,3.0,690,0.004,81,25.3,13.5,5.4,2.8,1.2,0.9,.539,.000,.813,9.2,.217
1981,28,Mike Mitchell,25,CLE,0.0,3.0,690,0.004,82,39.0,24.5,6.1,1.7,0.8,0.6,.476,.444,.784,6.0,.091
1981,29,James Silas,31,SAS,0.0,3.0,690,0.004,75,27.4,17.7,3.1,3.8,0.7,0.2,.477,.000,.850,7.0,.164
1981,30,Quinn Buckner,26,MIL,0.0,1.0,690,0.001,82,29.1,13.3,3.6,4.7,2.4,0.0,.493,.167,.734,5.4,.108
1981,31,Caldwell Jones,30,PHI,0.0,1.0,690,0.001,81,32.6,7.2,10.0,1.5,0.7,1.7,.449,,.767,5.5,.100
1982,1,Moses Malone,26,HOU,40.0,507.0,690,0.735,81,42.0,31.1,14.7,1.8,0.9,1.5,.519,.000,.762,15.4,.218
1982,2,Larry Bird,25,BOS,20.0,406.0,690,0.588,77,38.0,22.9,10.9,5.8,1.9,0.9,.503,.212,.863,12.5,.205
1982,3,Julius Erving,31,PHI,1.0,203.0,690,0.294,81,34.4,24.4,6.9,3.9,2.0,1.7,.546,.273,.763,13.3,.229
1982,4,Robert Parish,28,BOS,4.0,131.0,690,0.190,80,31.7,19.9,10.8,1.8,0.9,2.4,.542,,.710,10.0,.190
1982,5,Gus Williams,28,SEA,2.0,115.0,690,0.167,80,36.0,23.4,3.1,6.9,2.2,0.5,.486,.225,.734,10.2,.171
1982,6,George Gervin,29,SAS,1.0,110.0,690,0.159,79,35.7,32.3,5.0,2.4,1.0,0.6,.500,.278,.864,10.7,.182
1982,7,Sidney Moncrief,24,MIL,1.0,101.0,690,0.146,80,37.3,19.8,6.7,4.8,1.7,0.3,.523,.071,.817,13.4,.216
1982,8,Magic Johnson,22,LAL,0.0,67.0,690,0.097,78,38.3,18.6,9.6,9.5,2.7,0.4,.537,.207,.760,12.9,.207
1982,9,Jack Sikma,26,SEA,0.0,33.0,690,0.048,82,37.2,19.6,12.7,3.4,1.2,1.3,.479,.154,.855,12.6,.199
1982,10,Kareem Abdul-Jabbar,34,LAL,0.0,31.0,690,0.045,76,35.2,23.9,8.7,3.0,0.8,2.7,.579,.000,.706,10.7,.192
1982,11,Dan Roundfield,28,ATL,0.0,14.0,690,0.020,61,36.3,18.6,11.8,2.7,1.0,1.5,.466,.200,.760,6.5,.141
1982,12,Kelly Tripucka,22,DET,0.0,14.0,690,0.020,82,37.5,21.6,5.4,3.3,1.1,0.2,.496,.227,.797,7.5,.117
1982,13,Alex English,28,DEN,0.0,12.0,690,0.017,82,36.8,25.4,6.8,5.3,1.1,1.5,.551,.000,.840,9.5,.152
1982,14,Bernard King,25,GSW,0.0,10.0,690,0.014,79,36.2,23.2,5.9,3.6,1.0,0.3,.566,.200,.705,8.7,.147
1982,15,Adrian Dantley,26,UTA,0.0,7.0,690,0.010,81,39.8,30.3,6.3,4.0,1.2,0.2,.570,.333,.792,12.6,.187
1982,16,Ray Williams,27,NJN,0.0,6.0,690,0.009,82,33.3,20.4,4.0,6.0,2.4,0.5,.462,.167,.832,7.9,.139
1982,17,Michael Cooper,25,LAL,0.0,3.0,690,0.004,76,28.9,11.9,3.5,3.0,1.6,0.8,.517,.118,.813,5.0,.109
1982,18,Dan Issel,33,DEN,0.0,3.0,690,0.004,81,30.5,22.9,7.5,2.2,0.8,0.7,.527,.667,.834,9.8,.190
1982,19,Marques Johnson,25,MIL,0.0,3.0,690,0.004,60,31.7,16.5,6.1,3.6,1.0,0.6,.532,.000,.700,6.2,.158
1982,20,Isiah Thomas,20,DET,0.0,3.0,690,0.004,72,33.8,17.0,2.9,7.8,2.1,0.2,.424,.288,.704,2.3,.046
1982,21,Dennis Johnson,27,PHO,0.0,1.0,690,0.001,80,36.7,19.5,5.1,4.6,1.3,0.7,.470,.190,.806,8.1,.132
1982,22,Mychal Thompson,27,POR,0.0,1.0,690,0.001,79,39.6,20.8,11.7,4.0,0.9,1.4,.523,,.628,8.2,.125
1982,23,Jay Vincent,22,DAL,0.0,1.0,690,0.001,81,32.4,21.4,7.0,2.2,1.1,0.3,.497,.250,.716,5.6,.102
1982,24,Jamaal Wilkes,28,LAL,0.0,1.0,690,0.001,82,35.4,21.1,4.8,1.7,1.1,0.3,.525,.000,.732,7.7,.127
1982,25,Buck Williams,21,NJN,0.0,1.0,690,0.001,82,34.5,15.5,12.3,1.3,1.0,1.0,.582,.000,.624,8.9,.152
1983,1,Moses Malone,27,PHI,69.0,720.0,750,0.960,78,37.5,24.5,15.3,1.3,1.1,2.0,.501,.000,.761,15.1,.248
1983,2,Larry Bird,26,BOS,1.0,364.0,750,0.485,79,37.7,23.6,11.0,5.8,1.9,0.9,.504,.286,.840,14.0,.225
1983,3,Magic Johnson,23,LAL,2.0,304.5,750,0.406,79,36.8,16.8,8.6,10.5,2.2,0.6,.548,.000,.800,12.5,.207
1983,4,Sidney Moncrief,25,MIL,0.0,226.0,750,0.301,76,35.7,22.5,5.8,3.9,1.5,0.3,.524,.100,.826,13.2,.233
1983,5,Julius Erving,32,PHI,3.0,112.0,750,0.149,72,33.6,21.4,6.8,3.7,1.6,1.8,.517,.286,.759,10.9,.217
1983,6,Alex English,29,DEN,0.0,42.0,750,0.056,82,36.4,28.4,7.3,4.8,1.4,1.5,.516,.167,.829,10.3,.166
1983,7,Buck Williams,22,NJN,0.0,40.0,750,0.053,82,36.1,17.0,12.5,1.5,1.1,1.3,.588,.000,.620,11.4,.185
1983,8,Artis Gilmore,33,SAS,0.0,33.0,750,0.044,82,34.1,18.0,12.0,1.5,0.5,2.3,.626,.000,.740,11.0,.189
1983,9,George Gervin,30,SAS,0.0,30.0,750,0.040,78,36.3,26.2,4.6,3.4,1.1,0.9,.487,.364,.853,9.4,.159
1983,10,Kareem Abdul-Jabbar,35,LAL,0.0,15.0,750,0.020,79,32.3,21.8,7.5,2.5,0.8,2.2,.588,.000,.749,10.9,.205
1983,11,Jack Sikma,27,SEA,0.0,13.0,750,0.017,75,34.2,18.2,11.4,3.1,1.2,0.9,.464,.000,.837,9.8,.183
1983,12,Jeff Ruland,24,WSB,0.0,12.0,750,0.016,79,36.2,19.4,11.0,3.0,0.9,1.0,.552,.333,.689,10.1,.169
1983,13,Terry Cummings,21,SDC,0.0,10.0,750,0.013,70,36.2,23.7,10.6,2.5,1.8,0.9,.523,.000,.709,8.7,.164
1983,14,Maurice Lucas,30,PHO,0.0,9.0,750,0.012,77,33.6,16.5,10.4,2.8,0.7,0.6,.474,.333,.781,7.1,.132
1983,15,Alton Lister,24,MIL,0.0,5.0,750,0.007,80,23.6,8.4,7.1,1.4,0.6,2.2,.529,,.537,3.8,.096
1983,16,Bernard King,26,NYK,0.0,4.0,750,0.005,68,32.5,21.9,4.8,2.9,1.3,0.2,.528,.000,.722,7.5,.163
1983,17,Isiah Thomas,21,DET,0.0,4.0,750,0.005,81,38.2,22.9,4.0,7.8,2.5,0.4,.472,.288,.710,7.4,.115
1983,18,Larry Drew,24,KCK,0.0,3.0,750,0.004,75,35.9,20.1,2.8,8.1,1.7,0.1,.492,.125,.820,7.2,.128
1983,19,Gus Williams,29,SEA,0.0,3.0,750,0.004,80,34.5,20.0,2.6,8.0,2.3,0.3,.477,.047,.751,8.5,.148
1983,20,Dan Roundfield,29,ATL,0.0,2.0,750,0.003,77,36.5,19.0,11.4,2.9,0.8,1.5,.470,.185,.749,7.4,.127
1983,21,Marques Johnson,26,MIL,0.0,1.5,750,0.002,80,35.7,21.4,7.0,4.5,1.3,0.7,.509,.200,.735,10.7,.180
1983,22,Norm Nixon,27,LAL,0.0,1.0,750,0.001,79,34.3,15.1,2.6,7.2,1.3,0.1,.475,.000,.744,3.9,.069
1983,23,Kiki Vandeweghe,24,DEN,0.0,1.0,750,0.001,82,35.5,26.7,5.3,2.5,0.8,0.5,.547,.294,.875,11.0,.182
1984,1,Larry Bird,27,BOS,52.0,652.0,760,0.858,79,38.3,24.2,10.1,6.6,1.8,0.9,.492,.247,.888,13.6,.215
1984,2,Bernard King,27,NYK,11.0,373.0,760,0.491,77,34.6,26.3,5.1,2.1,1.0,0.2,.572,.000,.779,12.1,.218
1984,3,Magic Johnson,24,LAL,5.0,305.0,760,0.401,67,38.3,17.6,7.3,13.1,2.2,0.7,.565,.207,.810,10.2,.191
1984,4,Kareem Abdul-Jabbar,36,LAL,3.0,153.0,760,0.201,80,32.8,21.5,7.3,2.6,0.7,1.8,.578,.000,.723,8.9,.163
1984,5,Isiah Thomas,22,DET,1.0,115.0,760,0.151,82,36.7,21.3,4.0,11.1,2.5,0.4,.462,.338,.733,9.1,.144
1984,6,Julius Erving,33,PHI,1.0,98.0,760,0.129,77,34.8,22.4,6.9,4.0,1.8,1.8,.512,.333,.754,10.1,.180
1984,7,Adrian Dantley,28,UTA,1.0,88.0,760,0.116,79,37.8,30.6,5.7,3.9,0.8,0.1,.558,.250,.859,14.6,.235
1984,8,Sidney Moncrief,26,MIL,1.0,70.0,760,0.092,79,38.9,20.9,6.7,4.5,1.4,0.3,.498,.278,.848,12.7,.198
1984,9,Jeff Ruland,25,WSB,1.0,38.0,760,0.050,75,41.1,22.2,12.3,3.9,0.9,1.0,.579,.143,.733,9.3,.144
1984,10,Moses Malone,28,PHI,0.0,35.0,760,0.046,71,36.8,22.7,13.4,1.4,1.0,1.5,.483,.000,.750,9.5,.175
1984,11,Mark Aguirre,24,DAL,0.0,28.0,760,0.037,79,36.7,29.5,5.9,4.5,1.0,0.3,.524,.268,.749,9.0,.149
1984,12,Bill Laimbeer,26,DET,0.0,9.0,760,0.012,82,34.9,17.3,12.2,1.8,0.6,1.0,.530,.000,.866,10.8,.181
1984,13,Rickey Green,29,UTA,0.0,8.0,760,0.011,81,34.2,13.2,2.8,9.2,2.7,0.2,.486,.118,.821,7.9,.138
1984,14,World B. Free,30,CLE,0.0,1.0,760,0.001,75,31.7,22.3,2.9,3.0,1.3,0.1,.445,.319,.784,5.3,.107
1984,15,Marques Johnson,27,MIL,0.0,1.0,760,0.001,74,36.7,20.7,6.5,4.3,1.6,0.6,.502,.154,.709,8.6,.152
1985,1,Larry Bird,28,BOS,73.0,763.0,780,0.978,80,39.5,28.7,10.5,6.6,1.6,1.2,.522,.427,.882,15.7,.238
1985,2,Magic Johnson,25,LAL,1.0,264.0,780,0.338,77,36.1,18.3,6.2,12.6,1.5,0.3,.561,.189,.843,12.7,.220
